Date,Title,URL
"April 23, 2024, Tuesday",ICICI Prudential Life Insurance to focus on growing absolute VNB amid slump in FY24,https://www.moneycontrol.com/news/business/icici-prudential-life-insurance-to-focusgrowing-absolute-vnb-amid-slumpfy24_17532041.html
"April 23, 2024, Tuesday","Tata Elxsi Q4 net profit, revenue decline QoQ; firm declares dividend of Rs 70 per share",https://www.moneycontrol.com/news/business/tata-elxsi-q4-net-profit-revenue-decline-qoq-firm-declares-dividendrs-70-per-share_17532061.html
"April 23, 2024, Tuesday","ICICI Pru Life Q4 net profit falls 26% to Rs 174 cr, insurer announces dividend",https://www.moneycontrol.com/news/business/icici-pru-life-q4-net-profit-falls-26-to-rs-174-cr-insurer-announces-dividend_17532101.html
"April 23, 2024, Tuesday",Cyient DLM#39;s profit after tax in FY24 surges 93%,https://www.moneycontrol.com/news/business/cyient-dlm39s-profit-after-taxfy24-surges-93_17532091.html
"April 23, 2024, Tuesday","Tata Consumer Q4 net profit falls 19% to Rs 217 cr, firm declares dividend of Rs 7.75 per share",https://www.moneycontrol.com/news/business/tata-consumer-q4-net-profit-falls-19-to-rs-217-cr-firm-declares-dividendrs-775-per-share_17532071.html
"April 23, 2024, Tuesday","Hindustan Unilever Q4 Preview: Price cuts, slow demand, regional competition to hurt topline",https://www.moneycontrol.com/news/business/hindustan-unilever-q4-preview-price-cuts-slow-demand-regional-competition-to-hurt-topline_17531901.html
"April 23, 2024, Tuesday",LTIMindtree Q4 Preview: Lower pass-through revenue seen impacting growth marginally,https://www.moneycontrol.com/news/business/ltimindtree-q4-preview-lower-pass-through-revenue-seen-impacting-growth-marginally_17531881.html
"April 23, 2024, Tuesday",LT manufactures hydrotreating reactor for refinery in Mexico,https://www.moneycontrol.com/news/business/lt-manufactures-hydrotreating-reactor-for-refinerymexico_17531811.html
"April 23, 2024, Tuesday",Air India enters into codeshare pact with Japan#39;s All Nippon Airways,https://www.moneycontrol.com/news/business/air-india-enters-into-codeshare-pactjapan39s-all-nippon-airways_17531801.html
"April 23, 2024, Tuesday",Razorpay announces #39;UPI Switch#39; in partnership with Airtel Payments Bank,https://www.moneycontrol.com/news/business/razorpay-announces-39upi-switch39partnershipairtel-payments-bank_17531791.html
"April 23, 2024, Tuesday","Stellantis India to hike vehicle prices by up to Rs 17,000 from April 30",https://www.moneycontrol.com/news/business/stellantis-india-to-hike-vehicle-prices-byto-rs-17000april-30_17531771.html
"April 23, 2024, Tuesday","Juniper Green Energy, Tata Power sign PPA for 85 MW hybrid project in Maharashtra",https://www.moneycontrol.com/news/business/juniper-green-energy-tata-power-sign-ppa-for-85-mw-hybrid-projectmaharashtra_17531681.html
"April 23, 2024, Tuesday",WeWork Global in talks to sell entire 27% stake in WeWork India,https://www.moneycontrol.com/news/business/wework-globaltalks-to-sell-entire-27-stakewework-india_17531651.html
"April 23, 2024, Tuesday",Moneycontrol Pro Panorama | India at big club threshold,https://www.moneycontrol.com/news/economy/moneycontrol-pro-panorama-|-india-at-big-club-threshold_17531931.html
"April 23, 2024, Tuesday",India#39;s sugar demand surges in heat wave and election season,https://www.moneycontrol.com/news/economy/india39s-sugar-demand-surgesheat-waveelection-season_17531591.html
"April 23, 2024, Tuesday",India’s Composite Flash PMI for April signals very strong economy,https://www.moneycontrol.com/news/economy/india’s-composite-flash-pmi-for-april-signals-very-strong-economy_17531301.html
"April 23, 2024, Tuesday","Taking Stock: Market fails to hold on to day#39;s gains, ends marginally higher",https://www.moneycontrol.com/news/local-markets/taking-stock-market-fails-to-holdto-day39s-gains-ends-marginally-higher_17531871.html
"April 23, 2024, Tuesday","Sensex, Nifty gain for third day in a row; easing volatility to support bull trend",https://www.moneycontrol.com/news/local-markets/sensex-nifty-gain-for-third-daya-row-easing-volatility-to-support-bull-trend_17531821.html
"April 23, 2024, Tuesday","Mid-day Mood | Cooling volatility sparks market rally, India VIX sees steepest fall in 4 years",https://www.moneycontrol.com/news/local-markets/mid-day-mood-|-cooling-volatility-sparks-market-rally-india-vix-sees-steepest-fall4-years_17531481.html
"April 23, 2024, Tuesday","Sensex, Nifty extend gains to 3rd day, Q4 results to guide stock-specific action",https://www.moneycontrol.com/news/local-markets/sensex-nifty-extend-gains-to-3rd-day-q4-results-to-guide-stock-specific-action_17530901.html
